Acmaea_depicta	Acmaea_sp	Acteon_punctocaelatus	Acteocina_culcitella	Bulla_gouldiana	Cerithidea_californica	Conus_californicus	Crepidula_lingulata	Crepidula_nummaria	Crepidula_onyx	Epitonium_cooperi	Haliotus_sp	Haminoea_vesicula	Haminoea_virescens	Jaton_festivus	Lacuna_unifasciata	Limnaea_sp	Littorina_sp	Lunatia_lewisii	Margarites_parcipictus	Melampus_olivaceus	Mitrella_carinata	Olivella_biplicata	Olivella_diegoensis	Nassarius_tegulus	Polinices_reclusianus	Pyramidella_sp	Rissoina_sp	Tricolia_compta	Nassarius_perpinguis	Nassarius_mendicus	Nassarius_fossatus	terrestrial_sp	Pecten_circularis	Chione_californiensis	Chione_fluctifraga	Chione_undatella	Clinocardium_nuttallii	Cooperella_subdiaphana	Cryptomya_californica	Cumingia_californica	Diplodonta_orbella	Donax_californica	Donax_gouldii	Heterodonax_bimaculatus	Laevicardium_substriatum	Leptopecten_latiauratus	Lucinisca_nuttallii	Lyonsia_californica	Macoma_irus	Macoma_nasuta	Macoma_secta	Mactra_californica	Mytilus_edulis	Nuculana_sp	Ostrea_lurida	Parvilucina_sp	Petricola_sp	Protothaca_staminea	Psammotreta_biangulata	Rochefortia_sp	Sanguinolaria_nuttallii	Saxidomus_nuttalli	Semele_incongrua	Spisula_dolabriformis	Tagelus_californianus	Tellina_carpenteri	Tellina_idae	Tellina_modesta	Thracia_sp	Tivela_stultorum	Tresus_nuttallii	Zirfaea_pilsbryi	Hemigrapsus_oregonensis	crab_parts	barnacle_fragments	Callianassa_spp	Lytechinus_pictus	Dendraster_excentricus	bryozoan_fragments	worm_tubes_calc	worm_tubes_sand	worm_tubes_clear	worm_tubes_gravel	worm_tubes_mud	Pectenaria_sp	vertebrata_teeth	vertebrata_bones
site_1	0	0	0	0	9	75	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	3	0	1	0	1	0	0	0	0	0	16	1	0	1	0	1	6	4	0	0	0	20	0	0	0	0	0	0	0	45	1	0	1	0	0	0	38	21	0	0	0	0	0	0	0	1	999	0	0	1	0	0	0	0	0	0	0	0	0
site_2	0	0	0	0	11	32	0	1	0	3	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	2	0	0	7	3	0	0	0	0	8	4	0	0	0	35	0	2	0	0	5	0	0	111	2	0	0	2	0	0	36	0	0	3	0	1	0	0	0	2	0	0	0	1	0	0	9999	0	0	0	1	0	0
site_3	0	0	0	0	23	15	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	4	3	0	0	0	1	5	16	0	0	1	40	8	0	3	0	0	0	0	102	0	0	0	3	0	0	78	25	0	2	0	0	0	0	0	7	0	0	0	1	0	0	9999	0	0	0	0	0	0
site_4	0	0	0	0	8	15	0	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	3	0	0	0	1	7	7	0	0	0	33	4	0	0	0	0	0	0	104	0	0	0	1	0	0	22	34	0	1	0	0	0	0	0	6	0	0	0	1	0	0	999	0	0	0	0	0	0
site_5	0	0	0	0	9	22	0	0	0	3	0	0	8	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	4	0	2	0	0	10	0	0	0	0	0	4	2	0	0	0	0	11	11	0	0	0	83	6	0	0	0	7	0	0	111	0	0	3	9	0	0	108	25	0	5	0	0	8	0	0	4	0	0	0	3	999	0	999	999	0	0	1	0	0
site_6	0	0	0	0	10	52	0	0	0	9	0	0	6	5	0	0	0	0	0	0	3	2	0	0	1	0	0	0	13	0	3	0	0	24	0	0	0	0	0	48	5	0	0	0	2	20	31	0	0	0	131	1	0	2	0	5	0	0	162	1	0	0	10	0	0	50	29	0	3	0	0	3	0	0	8	0	0	0	1	0	0	999	999	0	0	0	0	0
site_7	0	0	0	0	8	41	0	0	0	1	0	0	5	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	49	1	0	0	0	1	5	8	0	0	0	26	2	0	0	0	0	0	0	43	2	0	0	0	0	0	32	15	0	0	0	0	0	0	0	7	0	0	0	1	0	0	999	999	0	0	0	0	0
site_8	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	0	0	0	0	0	6	1	0	0	0	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	12	13	0	0	0	0	0	0	0	2	0	0	0	1	0	0	999	0	0	0	0	0	1
site_9	2	0	0	0	2	460	0	0	0	0	0	0	34	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	4	0	2	0	0	4	2	0	0	0	0	25	4	0	0	0	3	0	0	2	0	0	0	0	37	0	0	0	2	0	0	70	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1
site_10	0	0	0	0	0	359	0	0	0	1	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	4	0	0	0	0	2	0	0	11	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
site_11	0	0	0	0	3	309	0	0	0	0	1	0	46	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	5	1	0	0	0	0	0	0	29	0	0	0	0	0	0	17	3	0	0	0	0	1	0	0	27	0	0	0	1	0	0	0	999	0	0	0	0	0
site_12	0	0	0	0	0	15	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
site_13	0	0	0	0	0	10	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
site_14	0	0	0	0	34	18	0	0	0	0	0	0	9	8	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	109	4	0	0	0	0	0	6	0	0	0	58	18	0	0	0	0	0	0	69	3	0	0	8	0	0	24	23	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0
site_15	0	0	0	0	54	1	1	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	8	0	1	3	0	0	0	2	0	0	0	0	0	0	0	13	16	0	84	2	0	0	26	0	0	0	0	1	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0
site_16	0	0	0	2	27	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	1	1	0	7	0	0	1	0	0	0	3	2	0	0	0	0	0	0	7	10	0	139	0	0	0	21	0	0	0	0	3	2	0	0	5	0	0	0	4	0	0	999	0	0	0	0	0	0
site_17	0	0	0	0	39	2	0	0	0	0	0	0	5	6	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	29	0	4	0	14	0	21	2	0	2	0	11	0	0	0	0	0	0	0	137	16	0	37	11	0	0	186	0	0	0	0	5	9	0	0	4	0	0	0	5	0	0	999	0	0	0	0	1	0
site_18	0	0	0	0	32	1	0	0	0	1	0	0	7	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	467	0	3	0	5	0	20	2	0	0	0	22	9	0	0	0	1	0	0	62	23	0	203	0	0	0	20	3	2	0	0	0	3	0	0	3	0	0	0	24	0	0	0	0	0	0	0	0	0
site_19	0	0	0	0	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12	6	0	0	0	0	0	0	0	0	5	33	0	0	0	0	0	0	0	11	58	0	23	4	0	0	2	2	0	0	0	0	0	0	0	23	0	0	0	3	0	0	0	0	0	0	0	0	0
site_20	0	0	0	0	3	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	20	0	0	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
site_21	0	0	0	0	21	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	2	0	1	18	0	0	1	47	1	0	0	0	0	0	0	25	20	0	1	12	0	0	5	0	0	1	0	1	10	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	1
site_22	0	0	0	0	26	491	0	0	0	1	0	0	88	37	0	0	0	20	0	0	6	1	0	0	0	0	0	0	10	0	0	0	0	3	0	0	2	0	0	6	2	0	1	0	1	11	19	0	0	0	275	8	0	9	0	1	0	1	106	1	0	0	2	0	0	94	144	0	1	0	0	0	0	0	33	0	0	0	1	0	0	999	999	0	0	0	2	33
site_23	0	0	0	0	16	324	0	0	0	2	0	0	12	4	0	1	0	0	0	1	2	4	1	0	1	0	0	0	10	0	0	0	0	4	0	2	0	0	0	12	2	0	1	0	3	25	11	0	0	1	275	10	0	0	0	0	0	0	123	2	0	1	6	0	0	56	230	0	0	0	0	0	0	0	12	0	0	0	4	0	0	0	0	0	0	0	0	0
site_24	0	0	0	1	25	420	0	1	0	6	0	0	29	5	0	2	0	4	0	12	4	7	1	0	4	0	0	0	135	0	8	0	0	32	1	0	7	0	2	69	13	0	37	0	8	42	160	4	0	1	970	27	0	5	0	14	0	0	288	20	0	17	13	0	0	136	52	0	5	0	0	2	0	0	11	0	0	0	5	0	0	0	0	0	0	1	0	0
site_25	0	0	0	0	48	21	1	0	2	4	0	0	80	39	0	1	0	0	0	0	0	21	0	0	0	0	0	0	5	1	13	0	0	1	0	0	0	0	1	5	14	0	1	0	0	16	36	2	0	2	238	8	0	2	0	1	0	0	195	6	0	0	55	0	0	28	15	0	12	0	0	3	0	0	7	0	0	0	2	0	0	999	0	0	0	0	0	0
site_26	0	0	0	0	34	14	1	2	3	5	0	0	21	21	0	5	0	1	0	0	1	6	0	0	0	0	0	0	15	2	9	0	0	10	1	0	0	2	0	16	13	1	0	0	1	17	97	0	0	2	157	7	0	3	0	2	0	0	261	14	0	0	44	0	0	18	4	0	4	0	0	2	0	0	19	0	0	0	0	0	0	999	0	0	0	0	0	0
