Acmaea_depicta	Acmaea_sp	Acteon_punctocaelatus	Acteocina_culcitella	Bulla_gouldiana	Cerithidea_californica	Conus_californicus	Crepidula_lingulata	Crepidula_nummaria	Crepidula_onyx	Epitonium_cooperi	Haliotus_sp	Haminoea_vesicula	Haminoea_virescens	Jaton_festivus	Lacuna_unifasciata	Limnaea_sp	Littorina_sp	Lunatia_lewisii	Margarites_parcipictus	Melampus_olivaceus	Mitrella_carinata	Olivella_biplicata	Olivella_diegoensis	Nassarius_tegulus	Polinices_reclusianus	Pyramidella_sp	Rissoina_sp	Tricolia_compta	Nassarius_perpinguis	Nassarius_mendicus	Nassarius_fossatus	terrestrial_sp	Pecten_circularis	Chione_californiensis	Chione_fluctifraga	Chione_undatella	Clinocardium_nuttallii	Cooperella_subdiaphana	Cryptomya_californica	Cumingia_californica	Diplodonta_orbella	Donax_californica	Donax_gouldii	Heterodonax_bimaculatus	Laevicardium_substriatum	Leptopecten_latiauratus	Lucinisca_nuttallii	Lyonsia_californica	Macoma_irus	Macoma_nasuta	Macoma_secta	Mactra_californica	Mytilus_edulis	Nuculana_sp	Ostrea_lurida	Parvilucina_sp	Petricola_sp	Protothaca_staminea	Psammotreta_biangulata	Rochefortia_sp	Sanguinolaria_nuttallii	Saxidomus_nuttalli	Semele_incongrua	Spisula_dolabriformis	Tagelus_californianus	Tellina_carpenteri	Tellina_idae	Tellina_modesta	Thracia_sp	Tivela_stultorum	Tresus_nuttallii	Zirfaea_pilsbryi	Hemigrapsus_oregonensis	crab_parts	barnacle_fragments	Callianassa_spp	Lytechinus_pictus	Dendraster_excentricus	bryozoan_fragments	worm_tubes_calc	worm_tubes_sand	worm_tubes_clear	worm_tubes_gravel	worm_tubes_mud	Pectenaria_sp	vertebrata_teeth	vertebrata_bones
site_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	20	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	999	0	0	0	0	0	0	0	0	0	0	0	0
site_2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	19	1	0	0	0	0	0	0	16	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9999	0	0	0	0	0	0
site_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2	0	0	1	0	31	4	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9999	0	0	0	0	0	0
site_4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	20	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	0	0	0	0	0	0
site_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	999	0	999	999	0	0	0	0	0
site_6	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	2	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	999	999	0	0	0	0	0
site_7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	999	0	0	0	0	0
site_8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	999	0	0	0	0	0	0
site_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
site_10	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
site_11	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	999	0	0	0	0	0
site_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
site_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
