Phylum	Class	Order	Family	Genus	Species	taxonName	colName
Mollusca	Gastropoda			Acmaea	depicta	Acmaea depicta	Acmaea_depicta
Mollusca	Gastropoda			Acmaea	sp.	Acmaea sp.	Acmaea_sp
Mollusca	Gastropoda			Acteon	punctocaelatus	Acteon punctocaelatus	Acteon_punctocaelatus
Mollusca	Gastropoda			Acteocina	culcitella	Acteocina culcitella	Acteocina_culcitella
Mollusca	Gastropoda			Bulla	gouldiana	Bulla gouldiana	Bulla_gouldiana
Mollusca	Gastropoda			Cerithidea	californica	Cerithidea californica	Cerithidea_californica
Mollusca	Gastropoda			Conus	californicus	Conus californicus	Conus_californicus
Mollusca	Gastropoda			Crepidula	lingulata	Crepidula lingulata	Crepidula_lingulata
Mollusca	Gastropoda			Crepidula	nummaria	Crepidula nummaria	Crepidula_nummaria
Mollusca	Gastropoda			Crepidula	onyx	Crepidula onyx	Crepidula_onyx
Mollusca	Gastropoda			Epitonium	cooperi	Epitonium cooperi	Epitonium_cooperi
Mollusca	Gastropoda			Haliotus	sp.	Haliotus sp.	Haliotus_sp
Mollusca	Gastropoda			Haminoea	vesicula	Haminoea vesicula	Haminoea_vesicula
Mollusca	Gastropoda			Haminoea	virescens	Haminoea virescens	Haminoea_virescens
Mollusca	Gastropoda			Jaton	festivus	Jaton festivus	Jaton_festivus
Mollusca	Gastropoda			Lacuna	unifasciata	Lacuna unifasciata	Lacuna_unifasciata
Mollusca	Gastropoda			Limnaea	sp.	Limnaea sp.	Limnaea_sp
Mollusca	Gastropoda			Littorina	sp.	Littorina sp.	Littorina_sp
Mollusca	Gastropoda			Lunatia	lewisii	Lunatia lewisii	Lunatia_lewisii
Mollusca	Gastropoda			Margarites	parcipictus	Margarites parcipictus	Margarites_parcipictus
Mollusca	Gastropoda			Melampus	olivaceus	Melampus olivaceus	Melampus_olivaceus
Mollusca	Gastropoda			Mitrella	carinata	Mitrella carinata	Mitrella_carinata
Mollusca	Gastropoda			Olivella	biplicata	Olivella biplicata	Olivella_biplicata
Mollusca	Gastropoda			Olivella	diegoensis	Olivella diegoensis	Olivella_diegoensis
Mollusca	Gastropoda			Nassarius	tegulus	Nassarius tegulus	Nassarius_tegulus
Mollusca	Gastropoda			Polinices	reclusianus	Polinices reclusianus	Polinices_reclusianus
Mollusca	Gastropoda			Pyramidella	sp.	Pyramidella sp.	Pyramidella_sp
Mollusca	Gastropoda			Rissoina	sp.	Rissoina sp.	Rissoina_sp
Mollusca	Gastropoda			Tricolia	compta	Tricolia compta	Tricolia_compta
Mollusca	Gastropoda			Nassarius	perpinguis	Nassarius perpinguis	Nassarius_perpinguis
Mollusca	Gastropoda			Nassarius	mendicus	Nassarius mendicus	Nassarius_mendicus
Mollusca	Gastropoda			Nassarius	fossatus	Nassarius fossatus	Nassarius_fossatus
Mollusca	Gastropoda			terrestrial sp.		terrestrial sp. 	terrestrial_sp
Mollusca	Bivalvia			Pecten	circularis	Pecten circularis	Pecten_circularis
Mollusca	Bivalvia			Chione	californiensis	Chione californiensis	Chione_californiensis
Mollusca	Bivalvia			Chione	fluctifraga	Chione fluctifraga	Chione_fluctifraga
Mollusca	Bivalvia			Chione	undatella	Chione undatella	Chione_undatella
Mollusca	Bivalvia			Clinocardium	nuttallii	Clinocardium nuttallii	Clinocardium_nuttallii
Mollusca	Bivalvia			Cooperella	subdiaphana	Cooperella subdiaphana	Cooperella_subdiaphana
Mollusca	Bivalvia			Cryptomya	californica	Cryptomya californica	Cryptomya_californica
Mollusca	Bivalvia			Cumingia	californica	Cumingia californica	Cumingia_californica
Mollusca	Bivalvia			Diplodonta	orbella	Diplodonta orbella	Diplodonta_orbella
Mollusca	Bivalvia			Donax	californica	Donax californica	Donax_californica
Mollusca	Bivalvia			Donax	gouldii	Donax gouldii	Donax_gouldii
Mollusca	Bivalvia			Heterodonax	bimaculatus	Heterodonax bimaculatus	Heterodonax_bimaculatus
Mollusca	Bivalvia			Laevicardium	substriatum	Laevicardium substriatum	Laevicardium_substriatum
Mollusca	Bivalvia			Leptopecten	latiauratus	Leptopecten latiauratus	Leptopecten_latiauratus
