Station	Split	Vol (cm3)	M_fusca	M_petila	Ammonia_sp	Haynesina_sp	Organic linings	R_moniliformis	Ammobaculites_spp	P_haynesi	T_ochracea	J_macrescens	H_manilaensis	H_wilberti	Haplophragmoides_spp 	T_inflata	B_pseudomacrescens	T_irregularis	juvenile Trochamminids	unidentified
1A	8/8	11.5	493	0	15	3	0	2	19	0	2	20	17	0	0	19	104	30	27	1
1B	4/8	15.0	136	0	3	0	0	0	0	0	0	24	0	0	4	1	51	4	5	1
1C	4/8	14.0	131	0	7	0	0	0	0	0	0	5	8	0	0	0	30	7	16	3
1D	3/8	13.0	116	0	2	0	0	0	0	0	0	3	3	0	0	0	19	0	5	0
2A	 3/8	11.8	103	0	4	0	0	0	0	0	2	30	13	0	0	16	0	0	4	0
2B	2/8	11.0	25	0	7	2	0	0	0	0	0	4	0	0	0	0	7	0	13	3
2C	3/8	9.0	62	0	4	0	0	0	0	0	0	3	4	0	0	0	12	9	1	6
2D	 7/8	8.5	54	0	2	0	0	0	0	0	0	2	4	0	0	0	15	0	0	0
3A	4/8	13.6	102	1	0	0	3	0	0	1	0	7	2	0	0	0	27	1	0	0
3B	1/8	21.5	45	0	5	0	0	0	0	0	0	6	0	0	0	0	1	0	7	2
3C	1/8	13.0	54	0	1	0	0	0	0	0	0	2	1	0	0	0	3	6	1	0
3D	 1/8	18.5	16	0	0	0	0	0	0	0	0	1	0	0	0	0	5	8	0	0
4A	4/8	18.2	133	0	7	0	0	0	1	0	2	10	12	0	0	4	53	3	1	0
4B	3/8	15.5	97	0	1	0	2	0	0	0	0	2	2	0	0	0	39	0	0	0
4C	7/8	15.1	136	0	0	0	1	1	2	0	1	6	6	0	0	1	34	3	0	0
4D	6/8	20.4	136	1	0	0	3	0	3	0	0	8	12	1	0	3	38	5	1	0
5A	4/8	15.5	205	0	1	0	0	1	0	0	1	10	8	1	0	3	26	5	3	0
5B	1/8	32.0	182	0	2	0	0	0	0	0	0	5	3	0	0	0	16	2	13	1
5C	1/8	23.0	92	0	1	0	0	0	0	0	0	1	2	0	0	0	5	1	4	0
5D	 1/8	24.0	98	0	0	0	0	0	0	0	0	2	2	0	0	1	17	1	6	0
6A	 1/8	26.0	221	0	1	0	0	0	1	0	0	12	10	0	0	24	15	2	10	0
6B	1/8	35.5	208	0	0	0	1	0	0	0	0	2	5	0	0	4	26	1	1	0
6C	1/8	28.0	153	0	0	0	1	0	1	0	0	6	2	0	0	3	20	1	0	0
6D	1/8	31.6	226	1	0	0	1	0	0	0	0	5	3	0	0	1	19	1	1	0
7A	5/64	25.5	240	0	0	0	0	0	0	0	0	7	18	1	0	4	52	6	1	0
7B	1/8	38.0	358	0	0	0	0	0	0	0	0	15	13	0	0	6	163	24	36	0
7C	1/32	34.0	153	0	0	0	0	0	0	0	0	1	3	0	3	1	21	9	5	4
7D	3/64	37.0	178	0	0	0	0	0	0	0	0	3	4	0	0	2	18	8	0	0
8A	 1/8	31.0	503	0	0	0	0	0	0	0	0	7	16	1	0	23	559	10	8	1
8B	2/64	32.0	145	0	0	0	0	0	0	1	0	11	11	1	0	15	207	5	9	0
8C	2/64	33.8	90	2	0	0	0	0	0	0	1	13	31	1	0	37	44	2	5	0
8D	2/64	41.0	194	0	0	0	0	0	0	0	0	9	13	4	0	17	115	4	2	0
9A	4/64	30.8	27	2	0	0	0	0	0	0	0	50	45	8	0	119	43	12	11	0
9B	2/8	20.0	53	0	0	0	0	0	0	0	0	187	135	6	0	685	64	11	148	0
9C	3/64	24.5	30	0	0	0	0	0	0	0	0	30	13	0	4	28	47	15	44	0
9D	3/64	24.0	15	0	0	0	0	0	0	0	0	20	13	0	0	21	46	22	37	0
10A	 1/8	40.8	614	0	0	0	0	0	0	0	0	355	178	0	0	399	761	45	56	1
10B	2/64	44.5	64	0	0	0	0	0	0	0	0	49	30	3	0	72	95	44	11	0
10C	3/64	41.0	70	0	0	0	0	0	0	0	0	34	5	2	3	53	134	26	15	0
10D	2/64	31.4	47	0	0	0	0	0	0	0	0	63	13	6	2	93	80	39	35	0
11A	 1/8	32.0	77	0	0	0	0	0	0	0	0	143	144	0	0	411	282	64	92	0
11B	1/8	43.0	79	0	0	0	0	0	0	0	0	195	87	0	0	126	213	76	59	0
11C	1/32	34.0	23	0	0	0	0	0	0	0	0	39	25	0	6	46	100	24	65	0
11D	3/64	35.0	18	0	0	0	0	0	0	0	0	41	21	0	3	42	67	11	55	0
12A	 1/8	44.8	47	0	0	0	0	0	0	0	0	131	256	0	0	307	404	60	103	0
12B	4/64	34.8	7	3	0	0	0	0	0	0	0	11	14	7	0	58	141	37	6	1
12C	2/64	39.5	6	2	0	0	0	0	0	0	0	11	32	5	0	76	123	29	3	0
12D	2/64	37.5	31	3	0	0	0	0	0	0	0	18	16	9	0	56	75	45	10	0
13A	 3/8	28.5	3	0	0	0	0	0	0	0	0	0	0	0	0	4	12	58	12	0
13B	8/8	32.5	2	0	0	0	0	0	0	0	0	7	2	0	0	0	24	13	0	0
13C	8/8	32.5	4	0	0	0	0	0	0	0	0	0	0	0	0	1	69	19	0	0
13D	8/8	34.0	6	6	0	0	0	0	0	0	0	1	0	0	0	2	75	126	0	0
14A	4/8	31.5	1	14	0	0	0	0	0	0	0	0	6	0	0	6	34	153	3	0
14B	8/8	31.5	4	17	0	0	0	0	0	0	0	2	7	0	0	1	76	156	53	0
14C	8/8	42.0	4	9	0	0	0	0	0	0	0	3	6	1	0	2	32	174	2	0
14D	8/8	38.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	111	0	0
15A	1/8	41.5	1	19	0	0	0	0	0	0	0	0	2	1	0	2	5	176	0	0
15B	2/8	42.0	9	27	0	0	0	0	0	0	0	1	7	0	0	0	13	176	68	1
15C	2/8	50.5	0	96	0	0	0	0	0	0	0	0	9	0	0	0	8	186	27	0
15D	2/8	44.5	4	29	0	0	0	0	0	0	0	1	16	0	0	1	29	173	37	0
16A	8/8	34.0	0	7	0	0	0	0	0	0	0	1	1	0	0	2	25	50	11	0
16B	8/8	25.0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	26	7	0
16C	8/8	30.5	0	0	0	0	0	0	0	0	0	0	1	0	0	3	6	16	0	0
16D	8/8	30.5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	32	0	0
