Station	Split	Vol (cm3)	M_fusca	M_petila	Ammonia_sp	Haynesina_sp	Ammobaculites_spp	P_haynesi	T_ochraea	R_moniliformis	J_macrescens	H_manilaensis	H_wilberti	Haplophragmoides_spp	T_inflata	B_pseudomacrescens	T_irregularis	Juvenile Trochamminids	unidentified
1A	8/8	11.5	205	0	41	7	4	0	0	0	0	0	0	0	0	0	0	1	0
1B	4/8	15.0	38	0	10	3	0	0	0	0	0	0	0	1	0	0	0	0	2
1C	4/8	14.0	59	0	10	3	0	0	0	0	1	0	0	0	0	0	0	0	0
1D	3/8	13.0	70	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2A	 3/8	11.8	68	0	31	16	0	2	0	0	0	0	0	0	0	0	0	0	0
2B	2/8	11.0	47	0	59	0	0	0	0	0	0	0	0	0	0	0	0	6	0
2C	3/8	9.0	85	0	20	0	0	0	0	0	0	0	0	0	0	1	1	0	0
2D	 7/8	8.5	70	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3A	4/8	13.6	214	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3B	1/8	21.5	76	0	11	1	0	0	0	0	1	0	0	0	0	0	0	1	2
3C	1/8	13.0	94	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3D	 1/8	18.5	101	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4A	4/8	18.2	195	0	43	2	4	0	0	0	1	0	0	0	1	0	0	0	0
4B	3/8	15.5	178	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4C	7/8	15.1	250	0	8	0	6	0	0	0	1	0	0	0	0	3	0	0	0
4D	6/8	20.4	245	0	22	0	4	0	0	0	0	1	0	0	0	1	0	0	0
5A	4/8	15.5	250	0	14	0	1	0	0	0	1	1	0	0	0	16	0	0	0
5B	1/8	32.0	153	0	12	0	0	0	0	0	2	0	0	0	0	10	0	0	0
5C	1/8	23.0	87	0	15	0	0	0	0	0	0	0	0	0	0	24	0	4	2
5D	 1/8	24.0	74	0	0	0	0	0	0	0	0	0	0	0	0	23	0	4	0
6A	 1/8	26.0	145	0	9	0	0	0	0	0	2	0	0	0	2	13	3	1	0
6B	1/8	35.5	245	0	14	0	0	0	0	0	1	1	0	0	2	54	0	0	0
6C	1/8	28.0	115	0	18	0	0	0	0	0	0	0	0	0	1	9	1	0	0
6D	1/8	31.6	207	0	29	0	2	0	0	0	1	0	0	0	1	4	0	0	0
7A	5/64	25.5	42	0	3	0	0	0	0	0	0	3	2	0	4	47	1	2	0
7B	1/8	38.0	130	0	0	0	0	0	0	0	1	3	0	0	3	75	9	7	0
7C	1/32	34.0	25	0	1	0	0	0	0	0	2	0	0	1	1	25	2	9	1
7D	3/64	37.0	44	0	3	0	0	0	0	0	1	2	0	0	1	10	0	0	0
8A	 1/8	31.0	128	0	5	0	0	0	0	0	0	3	1	0	12	114	3	3	1
8B	2/64	32.0	18	0	0	0	0	0	0	0	3	3	0	0	5	84	1	14	0
8C	2/64	33.8	15	0	0	0	0	0	0	0	5	8	0	0	47	71	1	12	0
8D	2/64	41.0	44	0	0	0	0	0	0	0	2	5	1	0	6	34	0	3	0
9A	4/64	30.8	10	0	0	0	0	0	0	0	1	25	1	0	61	7	2	5	0
9B	2/8	20.0	8	0	0	0	0	0	0	0	6	16	0	0	68	8	0	7	0
9C	3/64	24.5	12	0	0	0	0	0	0	0	3	7	0	0	8	33	8	21	0
9D	3/64	24.0	4	0	0	0	0	0	0	0	11	5	0	0	10	38	3	29	0
10A	 1/8	40.8	70	0	0	0	0	0	0	0	10	23	0	0	65	81	1	18	0
10B	2/64	44.5	2	0	0	0	0	0	0	0	4	8	0	0	35	47	5	20	0
10C	3/64	41.0	26	5	0	0	0	0	0	0	13	15	2	0	69	90	9	31	0
10D	2/64	31.4	8	2	0	0	0	0	0	0	9	9	0	0	86	68	0	31	0
11A	 1/8	32.0	0	0	0	0	0	0	0	0	12	21	0	0	49	10	0	22	0
11B	1/8	43.0	11	0	0	0	0	0	0	0	136	27	0	0	61	111	0	62	0
11C	1/32	34.0	1	0	0	0	0	0	0	0	3	4	0	0	5	35	0	22	0
11D	3/64	35.0	5	0	0	0	0	0	0	0	8	1	0	1	10	45	0	38	0
12A	 1/8	44.8	4	0	0	0	0	0	0	0	7	65	0	0	80	43	4	26	0
12B	4/64	34.8	3	0	0	0	0	0	0	0	4	8	0	0	30	80	10	10	2
12C	2/64	39.5	1	0	0	0	0	0	0	0	3	6	1	0	19	46	7	10	0
12D	2/64	37.5	2	0	0	0	0	0	0	0	8	6	0	0	56	36	7	3	0
13A	 3/8	28.5	0	0	0	0	0	0	0	0	0	0	0	0	1	8	95	19	0
13B	8/8	32.5	2	0	0	0	0	0	0	0	0	1	0	0	0	19	34	1	0
13C	8/8	32.5	0	0	0	0	0	0	0	0	0	0	0	0	0	51	55	0	0
13D	8/8	34.0	1	7	0	0	0	0	0	0	0	0	0	0	0	33	73	0	0
14A	4/8	31.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	31	0	0
14B	8/8	31.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	0	0
14C	8/8	42.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21	0	0
14D	8/8	38.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	44	0	0
15A	1/8	41.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	0	0
15B	2/8	42.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
15C	2/8	50.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
15D	2/8	44.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	0
16A	8/8	34.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16B	8/8	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16C	8/8	30.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
16D	8/8	30.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
